File,MotionCutoff,FreezeThresh,MinFreezeDuration,Frame,Motion,Freezing
Freezing_animal.mpg,10.0,200.0,15.0,98,1200.0,0
Freezing_animal.mpg,10.0,200.0,15.0,99,910.0,0
Freezing_animal.mpg,10.0,200.0,15.0,100,595.0,0
Freezing_animal.mpg,10.0,200.0,15.0,101,602.0,0
Freezing_animal.mpg,10.0,200.0,15.0,102,827.0,0
Freezing_animal.mpg,10.0,200.0,15.0,103,1105.0,0
Freezing_animal.mpg,10.0,200.0,15.0,104,1054.0,0
Freezing_animal.mpg,10.0,200.0,15.0,105,968.0,0
Freezing_animal.mpg,10.0,200.0,15.0,106,810.0,0
Freezing_animal.mpg,10.0,200.0,15.0,107,967.0,0
Freezing_animal.mpg,10.0,200.0,15.0,108,712.0,0
Freezing_animal.mpg,10.0,200.0,15.0,109,569.0,0
Freezing_animal.mpg,10.0,200.0,15.0,110,768.0,0
Freezing_animal.mpg,10.0,200.0,15.0,111,759.0,0
Freezing_animal.mpg,10.0,200.0,15.0,112,743.0,0
Freezing_animal.mpg,10.0,200.0,15.0,113,743.0,0
Freezing_animal.mpg,10.0,200.0,15.0,114,633.0,0
Freezing_animal.mpg,10.0,200.0,15.0,115,611.0,0
Freezing_animal.mpg,10.0,200.0,15.0,116,857.0,0
Freezing_animal.mpg,10.0,200.0,15.0,117,404.0,0
Freezing_animal.mpg,10.0,200.0,15.0,118,353.0,0
Freezing_animal.mpg,10.0,200.0,15.0,119,185.0,0
Freezing_animal.mpg,10.0,200.0,15.0,120,228.0,0
Freezing_animal.mpg,10.0,200.0,15.0,121,437.0,0
Freezing_animal.mpg,10.0,200.0,15.0,122,438.0,0
Freezing_animal.mpg,10.0,200.0,15.0,123,468.0,0
Freezing_animal.mpg,10.0,200.0,15.0,124,318.0,0
Freezing_animal.mpg,10.0,200.0,15.0,125,519.0,0
Freezing_animal.mpg,10.0,200.0,15.0,126,699.0,0
Freezing_animal.mpg,10.0,200.0,15.0,127,847.0,0
Freezing_animal.mpg,10.0,200.0,15.0,128,784.0,0
Freezing_animal.mpg,10.0,200.0,15.0,129,604.0,0
Freezing_animal.mpg,10.0,200.0,15.0,130,621.0,0
Freezing_animal.mpg,10.0,200.0,15.0,131,891.0,0
Freezing_animal.mpg,10.0,200.0,15.0,132,550.0,0
Freezing_animal.mpg,10.0,200.0,15.0,133,436.0,0
Freezing_animal.mpg,10.0,200.0,15.0,134,475.0,0
Freezing_animal.mpg,10.0,200.0,15.0,135,457.0,0
Freezing_animal.mpg,10.0,200.0,15.0,136,389.0,0
Freezing_animal.mpg,10.0,200.0,15.0,137,268.0,0
Freezing_animal.mpg,10.0,200.0,15.0,138,877.0,0
Freezing_animal.mpg,10.0,200.0,15.0,139,1145.0,0
Freezing_animal.mpg,10.0,200.0,15.0,140,410.0,0
Freezing_animal.mpg,10.0,200.0,15.0,141,521.0,0
Freezing_animal.mpg,10.0,200.0,15.0,142,587.0,0
Freezing_animal.mpg,10.0,200.0,15.0,143,878.0,0
Freezing_animal.mpg,10.0,200.0,15.0,144,914.0,0
Freezing_animal.mpg,10.0,200.0,15.0,145,674.0,0
Freezing_animal.mpg,10.0,200.0,15.0,146,518.0,0
Freezing_animal.mpg,10.0,200.0,15.0,147,542.0,0
Freezing_animal.mpg,10.0,200.0,15.0,148,619.0,0
Freezing_animal.mpg,10.0,200.0,15.0,149,653.0,0
Freezing_animal.mpg,10.0,200.0,15.0,150,157.0,0
Freezing_animal.mpg,10.0,200.0,15.0,151,730.0,0
Freezing_animal.mpg,10.0,200.0,15.0,152,906.0,0
Freezing_animal.mpg,10.0,200.0,15.0,153,446.0,0
Freezing_animal.mpg,10.0,200.0,15.0,154,555.0,0
Freezing_animal.mpg,10.0,200.0,15.0,155,570.0,0
Freezing_animal.mpg,10.0,200.0,15.0,156,477.0,0
Freezing_animal.mpg,10.0,200.0,15.0,157,336.0,0
Freezing_animal.mpg,10.0,200.0,15.0,158,508.0,0
Freezing_animal.mpg,10.0,200.0,15.0,159,283.0,0
Freezing_animal.mpg,10.0,200.0,15.0,160,246.0,0
Freezing_animal.mpg,10.0,200.0,15.0,161,362.0,0
Freezing_animal.mpg,10.0,200.0,15.0,162,427.0,0
Freezing_animal.mpg,10.0,200.0,15.0,163,302.0,0
Freezing_animal.mpg,10.0,200.0,15.0,164,434.0,0
Freezing_animal.mpg,10.0,200.0,15.0,165,416.0,0
Freezing_animal.mpg,10.0,200.0,15.0,166,235.0,0
Freezing_animal.mpg,10.0,200.0,15.0,167,227.0,0
Freezing_animal.mpg,10.0,200.0,15.0,168,426.0,0
Freezing_animal.mpg,10.0,200.0,15.0,169,440.0,0
Freezing_animal.mpg,10.0,200.0,15.0,170,625.0,0
Freezing_animal.mpg,10.0,200.0,15.0,171,743.0,0
Freezing_animal.mpg,10.0,200.0,15.0,172,547.0,0
Freezing_animal.mpg,10.0,200.0,15.0,173,768.0,0
Freezing_animal.mpg,10.0,200.0,15.0,174,836.0,0
Freezing_animal.mpg,10.0,200.0,15.0,175,614.0,0
Freezing_animal.mpg,10.0,200.0,15.0,176,553.0,0
Freezing_animal.mpg,10.0,200.0,15.0,177,655.0,0
Freezing_animal.mpg,10.0,200.0,15.0,178,1202.0,0
Freezing_animal.mpg,10.0,200.0,15.0,179,1296.0,0
Freezing_animal.mpg,10.0,200.0,15.0,180,1381.0,0
Freezing_animal.mpg,10.0,200.0,15.0,181,1126.0,0
Freezing_animal.mpg,10.0,200.0,15.0,182,886.0,0
Freezing_animal.mpg,10.0,200.0,15.0,183,574.0,0
Freezing_animal.mpg,10.0,200.0,15.0,184,712.0,0
Freezing_animal.mpg,10.0,200.0,15.0,185,871.0,0
Freezing_animal.mpg,10.0,200.0,15.0,186,564.0,0
Freezing_animal.mpg,10.0,200.0,15.0,187,514.0,0
Freezing_animal.mpg,10.0,200.0,15.0,188,319.0,0
Freezing_animal.mpg,10.0,200.0,15.0,189,340.0,0
Freezing_animal.mpg,10.0,200.0,15.0,190,532.0,0
Freezing_animal.mpg,10.0,200.0,15.0,191,422.0,0
Freezing_animal.mpg,10.0,200.0,15.0,192,468.0,0
Freezing_animal.mpg,10.0,200.0,15.0,193,551.0,0
Freezing_animal.mpg,10.0,200.0,15.0,194,476.0,0
Freezing_animal.mpg,10.0,200.0,15.0,195,608.0,0
Freezing_animal.mpg,10.0,200.0,15.0,196,444.0,0
Freezing_animal.mpg,10.0,200.0,15.0,197,289.0,0
Freezing_animal.mpg,10.0,200.0,15.0,198,475.0,0
Freezing_animal.mpg,10.0,200.0,15.0,199,372.0,0
Freezing_animal.mpg,10.0,200.0,15.0,200,339.0,0
Freezing_animal.mpg,10.0,200.0,15.0,201,249.0,0
Freezing_animal.mpg,10.0,200.0,15.0,202,35.0,0
Freezing_animal.mpg,10.0,200.0,15.0,203,406.0,0
Freezing_animal.mpg,10.0,200.0,15.0,204,420.0,0
Freezing_animal.mpg,10.0,200.0,15.0,205,332.0,0
Freezing_animal.mpg,10.0,200.0,15.0,206,282.0,0
Freezing_animal.mpg,10.0,200.0,15.0,207,101.0,0
Freezing_animal.mpg,10.0,200.0,15.0,208,202.0,0
Freezing_animal.mpg,10.0,200.0,15.0,209,771.0,0
Freezing_animal.mpg,10.0,200.0,15.0,210,857.0,0
Freezing_animal.mpg,10.0,200.0,15.0,211,844.0,0
Freezing_animal.mpg,10.0,200.0,15.0,212,666.0,0
Freezing_animal.mpg,10.0,200.0,15.0,213,680.0,0
Freezing_animal.mpg,10.0,200.0,15.0,214,570.0,0
Freezing_animal.mpg,10.0,200.0,15.0,215,965.0,0
Freezing_animal.mpg,10.0,200.0,15.0,216,932.0,0
Freezing_animal.mpg,10.0,200.0,15.0,217,695.0,0
Freezing_animal.mpg,10.0,200.0,15.0,218,599.0,0
Freezing_animal.mpg,10.0,200.0,15.0,219,714.0,0
Freezing_animal.mpg,10.0,200.0,15.0,220,914.0,0
Freezing_animal.mpg,10.0,200.0,15.0,221,603.0,0
Freezing_animal.mpg,10.0,200.0,15.0,222,520.0,0
Freezing_animal.mpg,10.0,200.0,15.0,223,476.0,0
Freezing_animal.mpg,10.0,200.0,15.0,224,759.0,0
Freezing_animal.mpg,10.0,200.0,15.0,225,410.0,0
Freezing_animal.mpg,10.0,200.0,15.0,226,722.0,0
Freezing_animal.mpg,10.0,200.0,15.0,227,709.0,0
Freezing_animal.mpg,10.0,200.0,15.0,228,575.0,0
Freezing_animal.mpg,10.0,200.0,15.0,229,608.0,0
Freezing_animal.mpg,10.0,200.0,15.0,230,916.0,0
Freezing_animal.mpg,10.0,200.0,15.0,231,220.0,0
Freezing_animal.mpg,10.0,200.0,15.0,232,609.0,0
Freezing_animal.mpg,10.0,200.0,15.0,233,542.0,0
Freezing_animal.mpg,10.0,200.0,15.0,234,512.0,0
Freezing_animal.mpg,10.0,200.0,15.0,235,64.0,0
Freezing_animal.mpg,10.0,200.0,15.0,236,135.0,0
Freezing_animal.mpg,10.0,200.0,15.0,237,478.0,0
Freezing_animal.mpg,10.0,200.0,15.0,238,682.0,0
Freezing_animal.mpg,10.0,200.0,15.0,239,689.0,0
Freezing_animal.mpg,10.0,200.0,15.0,240,549.0,0
Freezing_animal.mpg,10.0,200.0,15.0,241,654.0,0
Freezing_animal.mpg,10.0,200.0,15.0,242,249.0,0
Freezing_animal.mpg,10.0,200.0,15.0,243,412.0,0
Freezing_animal.mpg,10.0,200.0,15.0,244,312.0,0
Freezing_animal.mpg,10.0,200.0,15.0,245,362.0,0
Freezing_animal.mpg,10.0,200.0,15.0,246,564.0,0
Freezing_animal.mpg,10.0,200.0,15.0,247,683.0,0
Freezing_animal.mpg,10.0,200.0,15.0,248,684.0,0
Freezing_animal.mpg,10.0,200.0,15.0,249,229.0,0
Freezing_animal.mpg,10.0,200.0,15.0,250,215.0,0
Freezing_animal.mpg,10.0,200.0,15.0,251,412.0,0
Freezing_animal.mpg,10.0,200.0,15.0,252,265.0,0
Freezing_animal.mpg,10.0,200.0,15.0,253,362.0,0
Freezing_animal.mpg,10.0,200.0,15.0,254,225.0,0
Freezing_animal.mpg,10.0,200.0,15.0,255,146.0,0
Freezing_animal.mpg,10.0,200.0,15.0,256,252.0,0
Freezing_animal.mpg,10.0,200.0,15.0,257,206.0,0
Freezing_animal.mpg,10.0,200.0,15.0,258,236.0,0
Freezing_animal.mpg,10.0,200.0,15.0,259,156.0,0
Freezing_animal.mpg,10.0,200.0,15.0,260,102.0,0
Freezing_animal.mpg,10.0,200.0,15.0,261,368.0,0
Freezing_animal.mpg,10.0,200.0,15.0,262,178.0,0
Freezing_animal.mpg,10.0,200.0,15.0,263,167.0,0
Freezing_animal.mpg,10.0,200.0,15.0,264,125.0,0
Freezing_animal.mpg,10.0,200.0,15.0,265,11.0,0
Freezing_animal.mpg,10.0,200.0,15.0,266,59.0,0
Freezing_animal.mpg,10.0,200.0,15.0,267,238.0,0
Freezing_animal.mpg,10.0,200.0,15.0,268,152.0,0
Freezing_animal.mpg,10.0,200.0,15.0,269,3.0,0
Freezing_animal.mpg,10.0,200.0,15.0,270,92.0,0
Freezing_animal.mpg,10.0,200.0,15.0,271,100.0,0
Freezing_animal.mpg,10.0,200.0,15.0,272,98.0,0
Freezing_animal.mpg,10.0,200.0,15.0,273,33.0,0
Freezing_animal.mpg,10.0,200.0,15.0,274,16.0,0
Freezing_animal.mpg,10.0,200.0,15.0,275,184.0,0
Freezing_animal.mpg,10.0,200.0,15.0,276,543.0,0
Freezing_animal.mpg,10.0,200.0,15.0,277,925.0,0
Freezing_animal.mpg,10.0,200.0,15.0,278,871.0,0
Freezing_animal.mpg,10.0,200.0,15.0,279,720.0,0
Freezing_animal.mpg,10.0,200.0,15.0,280,487.0,0
Freezing_animal.mpg,10.0,200.0,15.0,281,783.0,0
Freezing_animal.mpg,10.0,200.0,15.0,282,648.0,0
Freezing_animal.mpg,10.0,200.0,15.0,283,616.0,0
Freezing_animal.mpg,10.0,200.0,15.0,284,598.0,0
